word,rank,avg,std_dev
laughter,1,8.5,0.9313
happiness,2,8.44,0.9723
love,3,8.42,1.1082
happy,4,8.3,0.9949
laughed,5,8.26,1.1572
laugh,6,8.22,1.3746
laughing,7,8.2,1.1066
excellent,8,8.18,1.1008
laughs,9,8.18,1.1551
joy,10,8.16,1.0568
successful,11,8.16,1.0759
win,12,8.12,1.0812
rainbow,13,8.1,0.9949
smile,14,8.1,1.0152
won,15,8.1,1.2164
pleasure,16,8.08,0.9655
smiled,17,8.08,1.066
rainbows,18,8.06,1.3603
winning,19,8.04,1.049
celebration,20,8.02,1.5318
enjoyed,21,8.02,1.5318
healthy,22,8.02,1.0593
music,23,8.02,1.1156
celebrating,24,8,1.1429
congratulations,25,8,1.6288
weekend,26,8,1.2936
celebrate,27,7.98,1.1516
comedy,28,7.98,1.1516
jokes,29,7.98,0.9792
rich,30,7.98,1.3169
victory,31,7.98,1.0784
christmas,32,7.96,1.293
free,33,7.96,1.261
friendship,34,7.96,1.1241
fun,35,7.96,1.3087
holidays,36,7.96,1.261
loved,37,7.96,1.1599
loves,38,7.96,1.3696
loving,39,7.96,1.0093
beach,40,7.94,1.0577
hahaha,41,7.94,1.5572
kissing,42,7.94,1.1323
sunshine,43,7.94,1.1678
beautiful,44,7.92,1.1753
delicious,45,7.92,1.2591
friends,46,7.92,1.1925
funny,47,7.92,1.0467
outstanding,48,7.92,1.14
paradise,49,7.92,1.3974
sweetest,50,7.92,1.2911
vacation,51,7.92,1.9042
butterflies,52,7.92,1.077
freedom,53,7.9,1.4178
flower,54,7.88,1.1718
great,55,7.88,1.2061
sunlight,56,7.88,1.4934
sweetheart,57,7.88,1.272
sweetness,58,7.88,1.1891
award,59,7.86,1.5651
chocolate,60,7.86,1.0304
hahahaha,61,7.86,1.7025
heaven,62,7.86,1.578
peace,63,7.86,1.3403
splendid,64,7.86,1.457
success,65,7.86,1.6414
enjoying,66,7.84,1.5032
kissed,67,7.84,1.5048
attraction,68,7.82,1.024
celebrated,69,7.8,1.178
hero,70,7.8,1.3997
hugs,71,7.8,1.4428
positive,72,7.8,1.2454
sun,73,7.8,1.3553
birthday,74,7.78,1.9091
blessed,75,7.78,1.2824
fantastic,76,7.78,1.0934
winner,77,7.78,1.6938
delight,78,7.78,1.4181
beauty,79,7.76,1.6107
butterfly,80,7.76,1.3334
entertainment,81,7.76,1.2216
funniest,82,7.76,1.5592
honesty,83,7.76,1.2707
sky,84,7.76,1.0797
smiles,85,7.76,1.7907
succeed,86,7.76,1.6971
wonderful,87,7.76,1.7907
glorious,88,7.74,1.3969
kisses,89,7.74,1.192
promotion,90,7.74,1.3822
family,91,7.72,1.3099
gift,92,7.72,1.3407
humor,93,7.72,1.0887
romantic,94,7.72,1.1959
cupcakes,95,7.7,1.233
festival,96,7.7,1.0738
hahahahaha,97,7.7,1.359
honour,98,7.7,1.2495
relax,99,7.7,1.0738
weekends,100,7.7,1.7871
angel,101,7.68,1.2362
b-day,102,7.68,1.5312
bonus,103,7.68,1.463
brilliant,104,7.68,1.6218
diamonds,105,7.68,1.4769
holiday,106,7.68,1.3005
lucky,107,7.68,1.2688
mother,108,7.68,1.6714
super,109,7.68,1.5964
amazing,110,7.66,1.493
angels,111,7.66,1.4654
enjoy,112,7.66,1.4654
friend,113,7.66,1.5066
friendly,114,7.66,1.5467
mother's,115,7.66,1.2875
profit,116,7.66,1.239
finest,117,7.66,1.3875
bday,118,7.64,1.6753
champion,119,7.64,1.2249
grandmother,120,7.64,1.3516
haha,121,7.64,1.3815
kiss,122,7.64,1.7585
kitten,123,7.64,1.2898
miracle,124,7.64,1.8926
mom,125,7.64,1.8709
sweet,126,7.64,1.0645
blessings,127,7.62,1.6274
bright,128,7.62,1.1409
cutest,129,7.62,1.0859
entertaining,130,7.62,1.0859
excited,131,7.62,1.3981
excitement,132,7.62,1.6523
joke,133,7.62,1.3981
millionaire,134,7.62,2.1275
prize,135,7.62,1.2103
succeeded,136,7.62,1.1409
successfully,137,7.62,1.2599
winners,138,7.62,1.5372
shines,139,7.6,1.5944
awesome,140,7.6,1.5908
genius,141,7.6,1.2454
achievement,142,7.58,1.4299
cake,143,7.58,1.1082
cheers,144,7.58,1.4721
exciting,145,7.58,1.3415
goodness,146,7.58,1.3716
hug,147,7.58,1.4721
income,148,7.58,1.6047
party,149,7.58,1.4581
puppy,150,7.58,1.4581
smiling,151,7.58,1.7034
song,152,7.58,1.3415
succeeding,153,7.58,1.3415
tasty,154,7.58,1.1265
victories,155,7.58,1.7623
achieved,156,7.56,1.3726
billion,157,7.56,1.6679
cakes,158,7.56,1.4591
easier,159,7.56,1.1457
flowers,160,7.56,1.4309
gifts,161,7.56,1.9395
gold,162,7.56,1.1095
merry,163,7.56,1.1457
families,164,7.54,1.2811
handsome,165,7.54,1.2488
lovers,166,7.54,1.2811
affection,167,7.53,1.5289
candy,168,7.52,1.4879
cute,169,7.52,1.1993
diamond,170,7.52,1.7171
earnings,171,7.52,1.4177
interesting,172,7.52,1.1822
peacefully,173,7.52,1.0544
praise,174,7.52,1.4741
relaxing,175,7.52,1.2162
roses,176,7.52,1.2493
saturdays,177,7.52,1.729
faithful,178,7.51,1.3248
heavens,179,7.51,1.7335
cherish,180,7.5,1.4743
comfort,181,7.5,1.1473
congrats,182,7.5,1.5419
cupcake,183,7.5,1.7642
earn,184,7.5,1.3439
extraordinary,185,7.5,1.374
glory,186,7.5,1.6067
hilarious,187,7.5,1.9821
moonlight,188,7.5,1.359
optimistic,189,7.5,1.3132
peaceful,190,7.5,1.0926
romance,191,7.5,1.4321
feast,192,7.49,1.6473
attractive,193,7.48,0.9739
glad,194,7.48,1.5151
grandma,195,7.48,1.5016
internet,196,7.48,1.313
pleasant,197,7.48,1.2162
profits,198,7.48,1.3285
smart,199,7.48,1.3738
x-mas,200,7.48,1.821
babies,201,7.46,1.5012
cheer,202,7.46,1.6807
courage,203,7.46,1.1817
enthusiasm,204,7.46,1.1287
honest,205,7.46,1.1287
loyal,206,7.46,1.2488
opportunities,207,7.46,1.0919
triumph,208,7.46,1.8318
wow,209,7.46,1.4458
jewels,210,7.46,1.6153
forests,211,7.45,1.332
apple,212,7.44,1.2316
dreams,213,7.44,1.4165
fantasy,214,7.44,1.6183
food,215,7.44,1.2149
honey,216,7.44,1.5928
miracles,217,7.44,1.9395
sex,218,7.44,1.6801
sing,219,7.44,1.3426
starlight,220,7.44,1.4165
thankful,221,7.44,1.5005
wins,222,7.44,1.2643
achieve,223,7.42,1.2304
adored,224,7.42,1.4441
cash,225,7.42,1.6671
dances,226,7.42,1.295
gorgeous,227,7.42,1.9597
grandchildren,228,7.42,1.5131
incredible,229,7.42,1.3415
lunch,230,7.42,1.0897
mommy,231,7.42,1.7623
parties,232,7.42,1.4441
perfect,233,7.42,1.7154
saturday,234,7.42,1.7154
surprise,235,7.42,1.5398
truth,236,7.42,1.401
blessing,237,7.4,1.7379
creative,238,7.4,1.1952
dinner,239,7.4,1.1429
kindness,240,7.4,1.088
pleased,241,7.4,1.1606
sexy,242,7.4,1.2289
strength,243,7.4,1.1606
thank,244,7.4,1.1249
thanks,245,7.4,1.5119
thanksgiving,246,7.4,1.4142
treasure,247,7.4,1.7143
valentine,248,7.4,1.7023
riches,249,7.39,1.6685
awarded,250,7.38,1.1586
fabulous,251,7.38,1.5372
grandfather,252,7.38,1.427
heavenly,253,7.38,1.8282
hope,254,7.38,1.3076
kids,255,7.38,1.6022
magical,256,7.38,1.2919
million,257,7.38,1.427
nice,258,7.38,1.5104
sundays,259,7.38,1.4553
wealth,260,7.38,1.2271
fantasies,261,7.36,1.3898
cares,262,7.36,1.3962
dance,263,7.36,1.4394
daughters,264,7.36,1.2249
favorable,265,7.36,1.5086
friend's,266,7.36,1.6383
generosity,267,7.36,1.2739
grateful,268,7.36,1.4675
inspired,269,7.36,1.1021
mothers,270,7.36,1.4675
parents,271,7.36,1.5086
valentine's,272,7.36,1.3211
intelligent,273,7.35,1.5504
liberation,274,7.35,1.3039
melody,275,7.35,1.7742
wonderland,276,7.35,1.64
beloved,277,7.34,1.2715
caring,278,7.34,1.4086
homemade,279,7.34,1.239
inspiring,280,7.34,1.1886
movies,281,7.34,1.4514
precious,282,7.34,1.5201
respect,283,7.34,1.6113
satisfaction,284,7.34,1.1178
satisfy,285,7.34,1.4373
wedding,286,7.34,1.5201
accomplished,287,7.32,1.3005
adorable,288,7.32,1.6956
championship,289,7.32,1.3619
comfortable,290,7.32,1.0962
cuddle,291,7.32,1.7313
games,292,7.32,1.2196
grandson,293,7.32,1.4769
life,294,7.32,1.6956
lovely,295,7.32,1.5444
pretty,296,7.32,1.6956
proud,297,7.32,1.4348
rose,298,7.32,1.463
united,299,7.32,1.2027
fruits,300,7.31,1.5303
adventure,301,7.3,1.4321
couple,302,7.3,1.2657
dollars,303,7.3,1.4604
eating,304,7.3,1.7757
fortune,305,7.3,1.3887
generous,306,7.3,1.4743
golden,307,7.3,1.3439
hahah,308,7.3,1.5419
hooray,309,7.3,2.0727
intelligence,310,7.3,1.1995
lover,311,7.3,1.9299
luxury,312,7.3,1.6812
money,313,7.3,1.8434
passion,314,7.3,1.4743
prosperity,315,7.3,1.5286
remarkable,316,7.3,1.3286
sweetie,317,7.3,1.1294
valentines,318,7.3,1.7757
educated,319,7.29,1.307
gently,320,7.29,1.2748
baby,321,7.28,1.8521
books,322,7.28,1.3254
bride,323,7.28,1.5391
cherished,324,7.28,1.5784
cookies,325,7.28,1.7028
dessert,326,7.28,1.7733
employed,327,7.28,1.3559
glow,328,7.28,1.2943
god,329,7.28,1.9277
great-grandchildren,330,7.28,1.7028
helped,331,7.28,1.2943
independence,332,7.28,1.5913
likes,333,7.28,1.5391
luckily,334,7.28,1.6542
moon,335,7.28,1.3708
perfectly,336,7.28,1.5913
satisfied,337,7.28,1.5258
sunday,338,7.28,1.9171
juicy,339,7.27,1.2037
championships,340,7.26,1.3524
divine,341,7.26,1.4115
dreaming,342,7.26,1.2586
foods,343,7.26,1.482
fresh,344,7.26,1.3219
gladly,345,7.26,1.1214
greatest,346,7.26,1.5228
hearts,347,7.26,1.6759
luck,348,7.26,1.8824
millions,349,7.26,1.5361
musicians,350,7.26,1.0461
play,351,7.26,1.2257
progress,352,7.26,1.1572
savings,353,7.26,1.2747
appreciation,354,7.24,1.4653
bliss,355,7.24,1.7562
bloom,356,7.24,1.598
book,357,7.24,1.2048
child,358,7.24,1.5592
companion,359,7.24,1.3786
computer,360,7.24,1.3933
gardens,361,7.24,1.3486
gentle,362,7.24,0.9806
hahahah,363,7.24,2.036
helpful,364,7.24,1.2382
impressed,365,7.24,1.0412
kind,366,7.24,1.3933
knowledge,367,7.24,1.4647
liberty,368,7.24,1.2707
mama,369,7.24,1.7562
nature,370,7.24,1.802
pal,371,7.24,1.2707
passionate,372,7.24,1.0797
promoted,373,7.24,1.4923
reward,374,7.24,1.8905
warmth,375,7.24,1.6483
xmas,376,7.24,2.105
danced,377,7.22,1.2122
amazed,378,7.22,1.8658
appreciate,379,7.22,1.183
brother,380,7.22,1.2337
confidence,381,7.22,1.2824
darling,382,7.22,1.3138
encouraging,383,7.22,1.5556
energy,384,7.22,1.2982
films,385,7.22,1.2824
garden,386,7.22,1.183
graduated,387,7.22,1.2664
guitar,388,7.22,1.4748
health,389,7.22,1.2501
heart,390,7.22,1.4327
honor,391,7.22,1.2002
like,392,7.22,1.2171
musical,393,7.22,1.5556
pets,394,7.22,1.5292
relaxed,395,7.22,1.0554
salary,396,7.22,1.3445
star,397,7.22,1.5817
sweeter,398,7.22,1.1119
trust,399,7.22,1.2337
yummy,400,7.22,1.7876
ecstasy,401,7.2,1.7318
eternal,402,7.2,1.5272
approved,403,7.2,1.4983
benefits,404,7.2,1.0498
cartoon,405,7.2,1.4428
comforted,406,7.2,1.4428
cool,407,7.2,1.3401
discount,408,7.2,1.2936
good,409,7.2,1.4569
google,410,7.2,1.3093
ladies,411,7.2,1.4708
libraries,412,7.2,1.2454
luv,413,7.2,1.8406
perfection,414,7.2,1.6288
presents,415,7.2,1.4569
prizes,416,7.2,2.0304
special,417,7.2,1.1952
wishes,418,7.2,1.2122
alive,419,7.18,1.2887
awards,420,7.18,1.207
bed,421,7.18,1.2887
best,422,7.18,1.6866
coffee,423,7.18,1.4803
comfy,424,7.18,1.2237
fiesta,425,7.18,1.7692
genuine,426,7.18,1.3805
helping,427,7.18,1.6374
imagine,428,7.18,1.1008
leisure,429,7.18,1.6986
meal,430,7.18,1.4665
promise,431,7.18,1.1899
respected,432,7.18,1.024
rest,433,7.18,1.2567
travel,434,7.18,1.4241
abundant,435,7.16,1.6458
attracted,436,7.16,1.1669
devoted,437,7.16,1.3607
favourite,438,7.16,1.3607
granddaughter,439,7.16,1.6946
heroes,440,7.16,1.5696
ideas,441,7.16,1.2835
liked,442,7.16,0.9116
oceans,443,7.16,1.6208
pizza,444,7.16,1.3303
skies,445,7.16,1.3456
sleep,446,7.16,1.7066
spring,447,7.16,1.4337
sunset,448,7.16,2.1127
welcome,449,7.16,1.3149
1st,450,7.14,1.7025
adoring,451,7.14,1.6904
brighter,452,7.14,1.325
children's,453,7.14,1.512
cure,454,7.14,1.512
fireworks,455,7.14,1.4848
home,456,7.14,1.8296
honored,457,7.14,1.2779
journey,458,7.14,1.512
lovin,459,7.14,1.9693
opportunity,460,7.14,1.7144
paid,461,7.14,1.7144
parks,462,7.14,1.5651
playing,463,7.14,1.4709
shine,464,7.14,1.7144
strawberry,465,7.14,1.4144
summertime,466,7.14,2.2224
wealthy,467,7.14,1.7498
appreciated,468,7.12,1.507
artistic,469,7.12,1.2395
birth,470,7.12,1.6117
children,471,7.12,1.3498
fruit,472,7.12,1.5205
inspire,473,7.12,1.4797
juice,474,7.12,1.0812
laptop,475,7.12,1.3498
partners,476,7.12,1.4377
son,477,7.12,1.8142
stronger,478,7.12,1.0812
superman,479,7.12,1.7219
tree,480,7.12,1.3192
valuable,481,7.12,1.1183
woman's,482,7.12,1.3498
women,483,7.12,1.4658
glowing,484,7.1,1.4324
admiration,485,7.1,1.4604
carnival,486,7.1,1.7642
computers,487,7.1,1.2817
confident,488,7.1,1.1824
cookie,489,7.1,1.2976
cutie,490,7.1,1.3132
dearest,491,7.1,1.2817
dream,492,7.1,1.9614
freely,493,7.1,1.374
fridays,494,7.1,1.4604
plants,495,7.1,1.2976
quality,496,7.1,1.4178
rabbit,497,7.1,1.2164
resort,498,7.1,1.4463
shopping,499,7.1,1.5419
sincere,500,7.1,1.0351
snack,501,7.1,1.5682
stars,502,7.1,1.5419
toys,503,7.1,1.6568
useful,504,7.1,1.1995
wise,505,7.1,1.2657
yum,506,7.1,1.488
desirable,507,7.08,1.6563
sparkle,508,7.08,1.6181
bless,509,7.08,1.9675
comic,510,7.08,1.5628
cooking,511,7.08,1.2911
dancing,512,7.08,1.6142
earned,513,7.08,1.1753
equality,514,7.08,1.8277
faith,515,7.08,1.4405
graduate,516,7.08,1.2428
improvements,517,7.08,1.4119
memories,518,7.08,1.1925
park,519,7.08,1.3529
pet,520,7.08,1.7004
powerful,521,7.08,1.5365
princess,522,7.08,1.5758
qualities,523,7.08,1.1578
thrill,524,7.08,1.5628
TRUE,525,7.08,1.1036
wonder,526,7.08,1.3068
everlasting,527,7.06,1.3906
mamma,528,7.06,1.7006
caress,529,7.06,1.7192
charm,530,7.06,1.4201
clever,531,7.06,1.3463
father,532,7.06,1.7427
grand,533,7.06,1.3614
hehehe,534,7.06,1.6587
idea,535,7.06,1.2843
pearl,536,7.06,1.4201
pictures,537,7.06,1.3157
restaurant,538,7.06,1.2521
sandwich,539,7.06,1.3763
sharing,540,7.06,1.2843
strong,541,7.06,1.5174
talent,542,7.06,0.9775
talented,543,7.06,1.5308
tenderness,544,7.06,1.2683
weddings,545,7.06,1.6587
dove,546,7.04,1.4428
awsome,547,7.04,1.7952
cherry,548,7.04,1.4563
daughter,549,7.04,1.8066
eat,550,7.04,1.4563
favorite,551,7.04,1.6532
girlfriend,552,7.04,1.6283
hoping,553,7.04,1.1421
impressive,554,7.04,1.0294
loyalty,555,7.04,1.7723
parent,556,7.04,1.293
relationship,557,7.04,1.293
safe,558,7.04,1.6157
scholarship,559,7.04,1.6532
shining,560,7.04,1.7608
sunrise,561,7.04,1.7952
yoga,562,7.04,1.5903
respects,563,7.02,1.6176
fairy,564,7.02,1.4789
humanity,565,7.02,1.6265
productivity,566,7.02,1.3148
brave,567,7.02,1.2856
colours,568,7.02,1.3775
correct,569,7.02,1.4913
dad,570,7.02,2.1236
daddy,571,7.02,1.7201
dollar,572,7.02,1.5185
easily,573,7.02,1.6349
fans,574,7.02,1.2534
goal,575,7.02,1.2204
hawaii,576,7.02,1.6841
honestly,577,7.02,1.5713
inspiration,578,7.02,1.4497
olympics,579,7.02,1.3476
saints,580,7.02,1.7201
sleeping,581,7.02,1.672
wisdom,582,7.02,1.5583
believed,583,7,1.2778
better,584,7,1.2778
color,585,7,1.3702
colors,586,7,1.7496
dad's,587,7,1.3851
determination,588,7,1.4142
discovered,589,7,1.2454
gentlemen,590,7,1.4289
girl,591,7,1.1606
harmony,592,7,1.4434
hello,593,7,1.5119
hopes,594,7,1.5518
noble,595,7,1.6036
praised,596,7,1.3851
reliable,597,7,1.4846
trip,598,7,1.5518
agreed,599,6.98,1.3013
approval,600,6.98,1.2036
brothers,601,6.98,1.4497
concerts,602,6.98,1.5451
cooperation,603,6.98,1.3775
encouraged,604,6.98,1.237
giving,605,6.98,1.1516
goals,606,6.98,1.2036
ideal,607,6.98,1.7082
intellectual,608,6.98,1.2856
invitation,609,6.98,1.3323
marry,610,6.98,1.868
musician,611,6.98,1.237
outdoors,612,6.98,1.6962
photography,613,6.98,1.4913
plenty,614,6.98,1.2204
rome,615,6.98,1.4213
trees,616,6.98,1.5971
trips,617,6.98,1.3169
unique,618,6.98,1.4356
wildlife,619,6.98,1.6841
lullaby,620,6.98,1.931
thrills,621,6.98,1.3306
abroad,622,6.96,1.2282
bath,623,6.96,1.261
benefit,624,6.96,1.3087
birds,625,6.96,1.428
dads,626,6.96,1.4702
elegant,627,6.96,1.9268
eternally,628,6.96,1.7138
fair,629,6.96,1.261
fancy,630,6.96,1.3696
great-grandfather,631,6.96,1.7257
imagination,632,6.96,1.3547
improving,633,6.96,0.8797
mountains,634,6.96,1.1945
ocean,635,6.96,1.7138
pancakes,636,6.96,1.2115
photograph,637,6.96,1.5644
praying,638,6.96,1.7492
present,639,6.96,1.2771
reunion,640,6.96,1.6283
safely,641,6.96,1.4563
saving,642,6.96,1.261
singing,643,6.96,1.7019
songs,644,6.96,1.8731
sunny,645,6.96,2.0894
terrific,646,6.96,2.0796
theater,647,6.96,1.5513
vanilla,648,6.96,1.3395
adore,649,6.96,1.8592
gentleman,650,6.96,1.7254
autumn,651,6.94,1.5039
cinema,652,6.94,1.596
college,653,6.94,1.4201
concert,654,6.94,1.2022
correctly,655,6.94,1.3311
cozy,656,6.94,1.4626
dear,657,6.94,1.544
earning,658,6.94,1.5308
earns,659,6.94,1.0956
gardening,660,6.94,1.2683
girls,661,6.94,1.4626
massage,662,6.94,1.6587
outdoor,663,6.94,1.2357
photos,664,6.94,1.1678
piano,665,6.94,1.2683
sea,666,6.94,1.2843
trusted,667,6.94,1.5331
albums,668,6.92,1.3223
dignity,669,6.92,1.1753
favored,670,6.92,1.3529
fitness,671,6.92,1.7478
game,672,6.92,1.6015
healing,673,6.92,1.3974
learned,674,6.92,1.5232
learning,675,6.92,1.3529
prayers,676,6.92,1.8499
promote,677,6.92,1.066
secure,678,6.92,1.2911
spa,679,6.92,1.4824
unity,680,6.92,1.7478
wish,681,6.92,1.4961
youtube,682,6.92,1.5097
favour,683,6.92,1.5253
clean,684,6.9,1.8979
dynamic,685,6.9,1.3132
encourage,686,6.9,1.6812
infant,687,6.9,1.7642
jewelry,688,6.9,1.5017
necklace,689,6.9,1.165
paintings,690,6.9,1.594
stability,691,6.9,1.488
voyage,692,6.9,1.3286
worthy,693,6.9,1.6812
fulfill,694,6.9,1.3423
eternity,695,6.9,1.9596
accuracy,696,6.88,1.1718
bookstores,697,6.88,1.4518
breeze,698,6.88,1.3346
bunny,699,6.88,1.7916
cheese,700,6.88,1.4377
comics,701,6.88,1.3498
donated,702,6.88,1.2395
easter,703,6.88,1.698
education,704,6.88,1.6117
email,705,6.88,1.3192
farmer,706,6.88,1.6243
female,707,6.88,1.272
flavor,708,6.88,1.2229
friday,709,6.88,1.686
moms,710,6.88,1.7687
photo,711,6.88,1.3944
pillow,712,6.88,1.2229
pure,713,6.88,1.3498
saved,714,6.88,1.507
shakespeare,715,6.88,1.7802
survived,716,6.88,1.4797
taste,717,6.88,1.272
valued,718,6.88,1.1183
vitamin,719,6.88,1.3797
infants,720,6.88,1.6283
silk,721,6.88,1.4525
dreamed,722,6.87,1.3922
#music,723,6.86,1.8953
acceptance,724,6.86,1.2779
banana,725,6.86,1.2938
breakfast,726,6.86,1.143
cooperative,727,6.86,1.3999
dancer,728,6.86,1.5388
grace,729,6.86,1.5254
greatly,730,6.86,1.3403
guarantee,731,6.86,1.3095
improved,732,6.86,1.3554
improvement,733,6.86,1.2618
independent,734,6.86,1.8071
liking,735,6.86,0.8809
paris,736,6.86,1.6661
pasta,737,6.86,1.4144
photographs,738,6.86,1.4984
recipes,739,6.86,1.3095
relationships,740,6.86,1.125
relief,741,6.86,1.6037
sailing,742,6.86,1.4848
science,743,6.86,1.578
seas,744,6.86,1.6289
toast,745,6.86,1.4144
truly,746,6.86,0.9691
platinum,747,6.86,1.8484
superstar,748,6.86,1.9685
understands,749,6.86,1.2076
accurately,750,6.84,1.4619
advantage,751,6.84,1.2835
belonging,752,6.84,1.2993
buddy,753,6.84,1.0568
childhood,754,6.84,1.8556
daylight,755,6.84,1.4049
discover,756,6.84,1.4049
forgiveness,757,6.84,1.9832
great-grandmother,758,6.84,1.8223
hopefully,759,6.84,1.5167
horses,760,6.84,1.4758
interested,761,6.84,1.0947
kid,762,6.84,1.4758
live,763,6.84,1.5167
lol,764,6.84,1.7884
movie,765,6.84,1.9832
popularity,766,6.84,1.5696
solution,767,6.84,1.3756
swim,768,6.84,1.2993
toy,769,6.84,2.034
understanding,770,6.84,1.1669
universe,771,6.84,1.2835
woman,772,6.84,1.6458
woohoo,773,6.84,2.044
rivers,774,6.84,1.5322
sail,775,6.84,1.5592
cared,776,6.83,1.2738
active,777,6.82,1.7692
artists,778,6.82,1.4241
babe,779,6.82,1.2728
believes,780,6.82,1.1899
born,781,6.82,1.6499
champagne,782,6.82,1.746
compassion,783,6.82,1.9026
completed,784,6.82,1.3656
create,785,6.82,1.1008
dedicated,786,6.82,1.32
experienced,787,6.82,1.1726
fathers,788,6.82,1.826
first,789,6.82,1.4803
gains,790,6.82,1.4803
heal,791,6.82,1.4525
new,792,6.82,1.1373
significant,793,6.82,1.0821
singer,794,6.82,1.4525
surprisingly,795,6.82,1.32
young,796,6.82,1.2403
mansion,797,6.82,1.6288
prevail,798,6.82,1.7281
qualified,799,6.81,1.5664
air,800,6.8,1.6537
amazon,801,6.8,1.5386
animal,802,6.8,1.8516
bedroom,803,6.8,1.4428
camera,804,6.8,1.2936
cream,805,6.8,1.2936
dreamer,806,6.8,1.4983
forgiven,807,6.8,1.5253
highest,808,6.8,1.7613
horse,809,6.8,1.5119
magic,810,6.8,1.7613
manners,811,6.8,1.2454
naturally,812,6.8,1.6036
novels,813,6.8,1.6903
performers,814,6.8,1.2617
pies,815,6.8,1.3702
protect,816,6.8,1.4142
santa,817,6.8,1.7728
shared,818,6.8,1.3401
smooth,819,6.8,1.178
together,820,6.8,1.5908
uncle,821,6.8,1.5649
efficient,822,6.8,1.5135
elevated,823,6.8,1.1899
cafe,824,6.78,1.4469
coke,825,6.78,1.6199
completion,826,6.78,1.3445
coolest,827,6.78,1.8103
creation,828,6.78,1.4039
dogs,829,6.78,1.8215
effectiveness,830,6.78,1.2664
esteemed,831,6.78,1.4039
finished,832,6.78,1.4184
glee,833,6.78,1.8658
green,834,6.78,1.6938
heartbeat,835,6.78,1.7058
island,836,6.78,1.5425
jukebox,837,6.78,1.5817
medal,838,6.78,1.4327
mom's,839,6.78,1.6199
museums,840,6.78,1.7177
painting,841,6.78,1.1657
pie,842,6.78,1.7177
pool,843,6.78,1.4609
reading,844,6.78,1.4609
real,845,6.78,1.2002
ruby,846,6.78,1.2664
share,847,6.78,1.4039
sons,848,6.78,1.6199
traveling,849,6.78,1.6695
variety,850,6.78,1.3138
wonders,851,6.78,1.8876
worth,852,6.78,1.3445
guaranteed,853,6.78,1.1773
raindrops,854,6.78,1.4181
visions,855,6.78,1.3733
pearls,856,6.77,1.7041
america,857,6.76,1.5194
easy,858,6.76,1.598
effective,859,6.76,1.2867
future,860,6.76,1.4223
humans,861,6.76,1.4507
intimate,862,6.76,1.3024
married,863,6.76,1.8468
muffin,864,6.76,1.2382
papa,865,6.76,1.9332
plus,866,6.76,1.4923
popcorn,867,6.76,1.8245
savior,868,6.76,1.6233
seasons,869,6.76,1.2216
shop,870,6.76,1.0412
sister,871,6.76,1.6483
style,872,6.76,1.6233
supporter,873,6.76,1.2216
switzerland,874,6.76,1.5059
tenderly,875,6.76,1.6233
top,876,6.76,1.5194
oxygen,877,6.76,1.422
rhyme,878,6.76,1.1995
allright,879,6.74,1.5624
american,880,6.74,1.5228
artist,881,6.74,1.4401
capable,882,6.74,1.6759
complete,883,6.74,1.2423
convenient,884,6.74,1.2257
courtesy,885,6.74,1.0844
donate,886,6.74,1.3372
drinks,887,6.74,1.4259
father's,888,6.74,1.3822
fine,889,6.74,1.3674
focused,890,6.74,1.1395
guitars,891,6.74,1.3969
hi,892,6.74,1.0654
integrity,893,6.74,1.5093
justice,894,6.74,1.9568
lake,895,6.74,1.6759
mankind,896,6.74,1.6011
mentor,897,6.74,1.1214
merit,898,6.74,1.209
performance,899,6.74,1.3372
plant,900,6.74,1.3524
prepared,901,6.74,1.0654
raise,902,6.74,1.209
romeo,903,6.74,1.712
shiny,904,6.74,1.2257
sugar,905,6.74,1.9358
surprising,906,6.74,1.2906
technology,907,6.74,1.4957
treat,908,6.74,1.712
university,909,6.74,1.3822
wishing,910,6.74,1.0461
yes,911,6.74,1.4542
desires,912,6.73,1.4688
wished,913,6.73,1.4109
4-bedroom,914,6.72,1.4988
attract,915,6.72,1.1436
bike,916,6.72,1.3856
car,917,6.72,2.1
civilization,918,6.72,1.3099
classy,919,6.72,1.0309
confirmed,920,6.72,1.2296
costumes,921,6.72,1.1256
creating,922,6.72,1.1613
culture,923,6.72,1.8075
finish,924,6.72,1.4148
gallery,925,6.72,1.2784
knowing,926,6.72,1.3559
lifelong,927,6.72,1.4434
momma,928,6.72,1.7384
neat,929,6.72,1.4434
niece,930,6.72,1.3559
online,931,6.72,1.2784
orchestra,932,6.72,1.3708
plays,933,6.72,1.5784
revenue,934,6.72,1.5258
shower,935,6.72,1.5124
spiritual,936,6.72,1.9487
surprised,937,6.72,1.3559
tremendous,938,6.72,1.5913
values,939,6.72,1.5654
villages,940,6.72,1.3708
warm,941,6.72,1.7961
doggy,942,6.71,2.1794
hallelujah,943,6.71,1.9896
candle,944,6.71,1.5704
secured,945,6.71,1.1478
valid,946,6.71,1.4434
agree,947,6.7,1.1824
anniversary,948,6.7,1.8434
antiques,949,6.7,1.374
believe,950,6.7,1.594
bucks,951,6.7,1.6812
cruise,952,6.7,1.9614
dancers,953,6.7,1.6067
dine,954,6.7,1.4033
dog,955,6.7,1.8434
florida,956,6.7,1.6568
grandsons,957,6.7,1.9086
grants,958,6.7,1.2495
hired,959,6.7,1.488
learn,960,6.7,1.4178
marriage,961,6.7,2.27
mum,962,6.7,1.7525
partner,963,6.7,1.2495
productive,964,6.7,1.1294
